Image_id,DeepSMILES
CDK_Depict_40_9,CCC=C=CCC)PC63C
CDK_Depict_5_28,C=NC=CN=CPC5=N9
CDK_Depict_47_200,C=CCN=CN)SN
CDK_Depict_42_86,O=CNC=O)C=COCC=CC=CC=C6)))))))))N5
CDK_Depict_38_218,CCC=NCC=N)NCCNCC)C6=N))))))))=CS5
CDK_Depict_13_26,O=COCC[C@H]CCCC[C@@H]%106
CDK_Depict_47_28,CCCCN=CC)CC=O)CSC5=O
CDK_Depict_47_176,FCF)F)[C-][N+]#CC=CC=CC=C6))))))))CF)F)F
CDK_Depict_42_53,C=CSNSSNSC=CS5)))))))S5
CDK_Depict_36_79,CCCCCCC)C)OOC=O)OCCCC))[N+]=O)[O-]
CDK_Depict_13_39,O=CCS)=CO)C4=S
CDK_Depict_47_188,CCCNO)CN)=O))))SC=CC=CC=N6
CDK_Depict_38_203,N#C/C=C/CCC=CC=[S+]C=CC=CC=C6)))))))C=C6
CDK_Depict_40_105,CC=O)C=CCS=O)O))=CSSC=CS=O)O))C=CCC)=O))C=C6))))))))C=C6
CDK_Depict_1_49,O=PO)O)C=NC=CC=N6
CDK_Depict_33_66,NNNC=CC=O)N=NC6C9N)O
CDK_Depict_39_153,OCF)Br)C=CC=CC=C6F
CDK_Depict_12_67,CCC)NC[C@@H]O)COC=CC=CC=CC=CC=C%106
CDK_Depict_30_59,CPOPCOC3N)N
CDK_Depict_40_14,CC=NC=N)C=CC=CC=N6))))))))C=CF)C=CCF)=C6
CDK_Depict_16_70,NC=NC=CCON73
CDK_Depict_3_96,O=CO[C@H]CO))[C@@H]O)[C@@H]5O
CDK_Depict_3_68,CCNCC))PCC))PCC))NCC))CC
CDK_Depict_11_12,CCC)CO))[C@@H]O)C=O)NCCCC=O)O
CDK_Depict_1_68,CCC)[C@H]CC[C@]C)[C@H][C@@H]O)[C@@H]O)[C@H][C@H]59)C6CO3
CDK_Depict_2_47,O=CC=O)N3Cl
CDK_Depict_36_199,FCF)C=[N+]C=CCCCF)F)F))=C6N=N9
CDK_Depict_25_38,COC=O)N=COC))OC
CDK_Depict_4_92,CCNCC))P=O)C#CCl)))OC
CDK_Depict_6_63,CNSC=O)NC)C5=S
CDK_Depict_47_48,CC=NS=O)OCF)F)F
CDK_Depict_33_90,C=NNC=C5OCCCSC5
CDK_Depict_27_133,CC=O)O[C@@H]C[C@H]O[C@@H]C=CC)CC[C@]6C)[C@]%11C)[C@]%10CO3
CDK_Depict_34_28,NC=CS)CN=CC=CCSC6)))))))=CS)CS)=C6S
CDK_Depict_19_43,COCCOC=O)/CBr)=C\Br)C=O)OCCOC
CDK_Depict_47_126,C=C/C=C/C=N/NCN)=O)))))OC[N+]=O)[O-]
CDK_Depict_3_35,COC=O)C=NNCCBr))=N5
CDK_Depict_17_84,CC=CSCC)=CC)O6
CDK_Depict_9_29,C=CSC=P5
CDK_Depict_40_26,CCC/COC))=C/C#N))NCC)C)C
CDK_Depict_32_58,C=C=PP#P)PC)#P
CDK_Depict_35_40,[S-][N+]=NNNC5=CC=CC=CC=C6
CDK_Depict_33_169,C=NN/C=C\NOC
CDK_Depict_3_12,O=CNC=CC=CCl)N7
CDK_Depict_17_95,CCSCC[C@H]N)C=O)O
CDK_Depict_11_36,C#CCOCC)C)C=CN=CN=C6
CDK_Depict_17_4,CCC=CC)COC))=NS5
CDK_Depict_29_279,CC=NPCC)=N5
CDK_Depict_16_38,CC=NC=CO)C=O)C6
CDK_Depict_30_269,N=PP=NS5
CDK_Depict_30_380,CCSC=S=S=S)=S=S)=S
CDK_Depict_29_66,O[P+]O)O)C=NCNCN6
CDK_Depict_30_142,CCC#[N+]PCl)CCC
CDK_Depict_39_55,[2H]CC=O)CCCN6CC6
CDK_Depict_3_147,C[C@]CCC=O))=CC[C@@H]6CC[C@@H][C@@H]%10CC[C@]C)[C@@H]O)CC[C@@H]95
CDK_Depict_30_300,O=CNCSC=O)S6
CDK_Depict_19_23,[2H]C=C[2H])C[2H])=CN[2H])[2H]))C[2H])=C6[2H]
CDK_Depict_39_199,CCOCF)F)/CF)=C\F)CF)F)NCF)F)F
CDK_Depict_3_74,CCCC=NC=CN6
CDK_Depict_15_20,C[C@@H]O)[C@H]CC[C@H][C@@H]CCC=CC=O)CC[C@@H]6[C@H]%10CC[C@]%17%14C
CDK_Depict_38_189,CCOC=O)/C=C/NC=CS)C=CCl)C=C6
CDK_Depict_32_95,CCC/C=C/N=NNC)CC)N
CDK_Depict_28_146,S=CS)COCC=S)S
CDK_Depict_44_9,CNC[OH2+])/CN)=C/C=O)OC
CDK_Depict_8_63,CCSCSCC)))C=NNN=N5
CDK_Depict_18_85,N[C@@H]CCO)))C=O)O
CDK_Depict_5_34,O=CC=CC=CCCCCN6%10))[C@H]CCCCN6C%10
CDK_Depict_3_39,CC[C@H][C@@H]CC[C@@H]C5)[C@@H]6[C@H]O)CO
CDK_Depict_8_3,CCP=O)CC=O)NN))))CC=O)NN
CDK_Depict_4_73,O=CO)OC=NNN=N5
CDK_Depict_4_68,C[C@H]N)[C@H]O)C=CCO)=CC=C6
CDK_Depict_14_24,O=CC=CN[C@H]C[C@H]O)[C@@H]CO))O5)))))C=O)N6
CDK_Depict_36_165,O=CCl)OCCF)F)F))COC4
CDK_Depict_12_19,CSC=NCN)=NC=N)S6
CDK_Depict_30_206,CPC)N=SC)C)=NPC)C
CDK_Depict_11_22,CCC)=CCNC=CC=CCBr)=C6))))[C@]O)CCNC)[C@H]85
CDK_Depict_13_2,CC=CC=O)SO5
