ground_truth,predicted,tanimoto_score
CSP1(=S)SP(=S)(SC)S1,CP1OSNP1(C)Br,0.03880597014925373
O=C1SC(=O)C(Cl)=C1Cl,O=C1OC(Br)=CS1,0.03767123287671233
CC(C)(C)S/C(Cl)=C(\Cl)Br,CP(F)(Br)NC(C)(C)C,0.046948356807511735
CC(O)C1=PC=PC=P1,CN(C)C(=O)C(Br)NC(C)(C)O,0.06168831168831169
COC(=O)/C(=N\Cl)N(Cl)Cl,COCC(=O)(Br)NNCC(O)(C)C,0.0
[2H]C([2H])([2H])OCOC,COO(CCOC)OC(C)C,0.0
CCN1C(=O)CSC(Cl)C1Cl,CC1=NCC(O)C(O)C1O,0.1135593220338983
N#CN=C1C=C2SC(=NC#N)C=C2S1,S=C=NCC(C)=CC(CC)N=C=O,0.07421150278293136
NC(CS(=O)(=O)O)P(=O)(O)O,NS(=O)(=O)ON(=O)(ON)(C)C,0.0
C=P(C1=CC=CC=C1)(C1CC1)C1CC1,CC4=CN1C2(C13(C)C2(C)C3(C)C)C=C4,0.0
CP(F)(=S)Cl,CP(=O)P(=S)S(C)=S,0.02962962962962963
CN1C=C(Cl)NC=C1Cl,CN1C=C(C)SC(C)=C1C=C,0.06496519721577726
CC[C@@H]1CCC[C@H]1C,C=C1(C)CCCC12(C)CCCC2C,0.0
BrC1CCC(Br)CC1,,0.0
CC(=O)C(=C=O)P(=S)(C(C)(C)C)C(C)(C)C,CC(C)(C)P(=O)(C)C(=NOC)(NC(C)(C)OC)NC(C)(C)C,0.0
C[C@]12C[C@H](CS(=O)C1)C1=C(C=CC(F)=C1)N2,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,0.01098901098901099
NC(=O)ON1C=NN=N1,C=NCN=N1N=NOO1,0.0
N#CC(Cl)(N=S=O)C(Cl)(Cl)Cl,CC(=O)C=O,0.024154589371980676
CCSCCSP(C)(=O)OC(C)(C)C(C)(C)O,CCOC(O)C(O)C(O)C(O)C(O)(C)C,0.12931034482758622
CCOC(C)=NC1=NOC(C)=C1,O=CN=CC1OCCC(=O)C1=N,0.1163575042158516
C1=CN(ON2C=CN=N2)N=N1,CN(C)N=C1N=CN=C1,0.039735099337748346
CC1=C(Cl)C=CP(Cl)C1,COCC1=N(C(O)C)C1(C)C,0.0
N#CC1C=NNC1N,C#CC1=NNC(N)NN1N,0.14457831325301204
CCOC1(SC)OS1,CCOOCC(C)(=O)N=C=S,0.0
CC(=O)SCC(=O)C1=CC=CN1,C(C(O)C1=CC=CS1)C(Br)(Br)Br,0.12224448897795591
CCOCCON=O,CCOCCS(=O)(=O)(CCSCSC)OC,0.0
CN(C)NC(=S)N(C)N,CN(C)C=C2N1CC1(C)NC2N,0.04498269896193772
O=[N+]([O-])C1NN=CN1Br,CNC(C)(C)C=C2S1CC1C2C,0.09492635024549918
C1=NN=NN1C1=NNN=N1,C1=N2NC=C1N=NCC=C3C2=NN(C)N=N3,0.0
BrCC1=NN=CO1,CC=CC=CC1=CC=CC=C1,0.03684210526315789
O=S=C(F)C(F)(F)F,O=C1N=N(C(F)(F)F)C(Br)N=NCC1,0.0
N#CN=C(CCl)N=S1CCOCC1,C#CCSCC1C=CC(NCC#N)S1,0.10526315789473684
N#CC(Br)CS(=O)(=O)CBr,CNC(CC#N)C(Br)S,0.11206896551724138
CCOC1=C(P)N=NN1OCC,COC(=O)COCN(N)C(=O)NN,0.08521739130434783
CCOC1=NN=CS1,COC1(=O)N=NNC=N1,0.0
N=C(N)C(Br)Br,CC(Br)P,0.14285714285714285
NN1C=CN(CCCO)N1,SC1C=CC(CCO)=N1,0.11046511627906977
ClP(Cl)N1CCOP1Cl,O1=C(C)CSO1,0.0
CCOP(=S)(NP(=S)(OCC)OCC)OCC,CCOP(OPC)O(OPC)O(OCC)O(P(=O)CC)O(OCC)O(P(=O)CC)O(OCC)O(P(=O)CC)O(OCC)OP,0.0
CC1=C(OC(=O)Cl)N=CS1,O=CO1C(=O)ONO1,0.0
N[C@@H](CO)C(=O)O,N1CC(O)C(O)C(O)C1=O,0.1103202846975089
COP(=O)(O)NS(C)(=O)=O,COP(=O)OP(=O)(OC)COP(=O)(O)(C)O(C)(C)O,0.0
ClOC1=NC(OCl)=NC(OCl)=N1,S1=PSOCO2C1OC(OC(O)C)O2,0.0
C=COOC(C)Br,C=CCOC(C)Br,0.22535211267605634
CS(=O)(=O)C1N=NN=N1,CSC(=O)CSP(=O)C,0.05963302752293578
CS(=O)(=O)NN(S(C)(=O)=O)S(C)(=O)=O,COC(=O)(NOO(C)=O)OOS(=O)(=O)(C)=O,0.0
CCCSC(CC(=O)NC(C)(C)C)=C(Cl)Cl,CC(C)(C)C(=O)NCC=NC(C)(C)(C)C(C)(C)C,0.0
CC1=CSC(C)=C1C=O,,0.0
CN(C)S(=O)(=O)N1CCN(N(CC#N)N=O)CC1,C(C)CCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNCNC,0.046948356807511735
CCP(CC)C1=NC=CN=C1,,0.0
[2H]C([2H])=C1CCC1([2H])[2H],CC=C(C)(C)(C)(C)(C)C,0.0
O=S(=O)(O)C1=CC=C(SC2=CC=CC=C2)C=C1,,0.0
O=CC1=CC(=O)N=N1,CC=CC1CCC(O)C1,0.04669260700389105
COC(OC)=C(OC)OC,COCC(=O)(C)=C(C)COC,0.0
C1=CN=C(C2=NNC(C3=NC=CC=N3)=NN2)N=C1,C2C(=NC1=CC=CC=C1)C(Br)=NC=C2C,0.10144927536231885
[2H]C([2H])([2H])SSSC([2H])([2H])[2H],COOC(C)=CCS(=O)(=O)C,0.027932960893854747
CC[C@@H]1[C@@H](N)C[C@@H](C2=CC=CC=C2)S[C@H]1C1=CC=CC=C1,,0.0
FC(F)(F)C(Cl)OC(Cl)(Cl)Cl,FC=CC(Br)(F)C(Br)(C(F)(F)F)C(F)(F)F,0.05908096280087528
