smiles,molfile,image_file
CP(=S(=O)P=S)C,,CDK_Depict_1_4.png
O=CN(C)N=O,,CDK_Depict_1_12.png
CN(C)C(C)C(=S)S,,CDK_Depict_1_36.png
,,CDK_Depict_1_65.png
COCOC(Br)C(O)C,,CDK_Depict_1_75.png
CO(C(C)(C)(C)(C)OPC)OCCC,,CDK_Depict_1_80.png
C=CC1(C)(CO)C=NN(C(C)C)O1,,CDK_Depict_1_81.png
C1C(=C=O)N=C(C)N=CC=C1,,CDK_Depict_1_82.png
NPP(=O)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,,CDK_Depict_2_11.png
C2C1(C)NN=C(C=N1)N2,,CDK_Depict_2_20.png
CP(C)C#P(F)C,,CDK_Depict_2_46.png
CNC=CC=CC(=C)(C(=C)C=C)N(C)O,,CDK_Depict_3_41.png
CCCCCC1CC1CCC,,CDK_Depict_3_108.png
,,CDK_Depict_3_144.png
CC(C)(C)CNC(=O)(C(C)(C)C)(NC(C)(C)C)(NN=S(C)C)=C=NOC,,CDK_Depict_4_50.png
C=CC1=CC=CC=C1,,CDK_Depict_4_51.png
,,CDK_Depict_4_69.png
CCC(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,,CDK_Depict_4_87.png
CC(=O)ONC(=O)N(N)N,,CDK_Depict_5_19.png
COC(=O)CN1NCC(OC)=N1,,CDK_Depict_5_40.png
FO2C=NN(=C1C=NN=C1)S2,,CDK_Depict_5_54.png
C(C1OO1)C=CC,,CDK_Depict_5_55.png
N1C=CN=C1CN,,CDK_Depict_5_64.png
CSC(C)(S)C,,CDK_Depict_5_97.png
CC=C2C=CC(=CC=CC1=CC=CC=C1)S2,,CDK_Depict_6_32.png
CC(C)C(C)SCC(C)=CSC(C)SCC,,CDK_Depict_6_39.png
C1=NSC(C)=N(CC)=N1,,CDK_Depict_6_51.png
O=S(=O)(O)SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,,CDK_Depict_6_56.png
C#CCC#CC1(C#N)CC#CC1C#N,,CDK_Depict_6_65.png
CC=CC(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)C(C)CC,,CDK_Depict_6_85.png
CS(=O)=NC=CC1=NC2=CC=C1NN2,,CDK_Depict_6_96.png
O=C=NOC(=S)NCC,,CDK_Depict_7_20.png
N#CSCCCC(C=S)NCC,,CDK_Depict_7_24.png
CC1OC(OC)N(NSC)NN1,,CDK_Depict_7_25.png
C2SS(=O)(=NC1=CNN=C1)OC=C2,,CDK_Depict_7_69.png
NC(N)C(=O)NO,,CDK_Depict_7_76.png
NCC=CC=C2C=CC(CN1=CC=CC=C1)S2,,CDK_Depict_8_1.png
O=S(=S)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,,CDK_Depict_8_31.png
CCOP(OC)O(P(=O)C)OP(CC)O(CC)O(CC)O(CC)O(CC)O(CC)O(CC)O(CC)O(CC)OC,,CDK_Depict_8_47.png
O=C(C)C(=O)NC=C1POC=C1C,,CDK_Depict_8_51.png
O=CCC(O)CC(O)C(=O)O,,CDK_Depict_8_59.png
COP(C)(C)O(C)OS(C)=O,,CDK_Depict_8_69.png
,,CDK_Depict_8_80.png
C#COOCC,,CDK_Depict_9_14.png
O=C(O)N(C)C,,CDK_Depict_9_18.png
CSP(=O)(F)S(=O)(=O)(#CPO)OP(=O)(F)S(=O)(=O)(#CPO)OP(=O)(F)S(=O)(=O)(#CPO)OP(=O)(F)S(=O)(=O)#C,,CDK_Depict_9_62.png
CC(NCCC)C=CSC(=O)OC(C)(C)C,,CDK_Depict_9_82.png
CCCCC1CCCC12CCCC23CCCC34CCCC45CCCC56CCCC6CC,,CDK_Depict_10_5.png
,,CDK_Depict_10_14.png
CCS3C(=CC2=CC(=C1N=CN=C1)N2)C3(C)C(C)OC(C)C,,CDK_Depict_10_25.png
CCC(C)C=C(C)C(C)C(O)CC,,CDK_Depict_10_31.png
CS(=O)(=O)C(CCCC1=CC=CC=C1)C2=CC=CC=C2,,CDK_Depict_10_46.png
CC=C=CC=C=C1=C=C=CC2=C=C12,,CDK_Depict_10_48.png
C(C)(C)OO(C)=C(C)C,,CDK_Depict_10_57.png
O=CNC2NC(NC1=NC=CC=N1)NO2,,CDK_Depict_10_72.png
O=S(=O)(C)=C(=S)(C)OO(C)=CC,,CDK_Depict_10_84.png
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CDK_Depict_10_88.png
FC(F)(C)C(F)(F)(Br)(F)(Br)C(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)(F)F,,CDK_Depict_10_90.png
C#CC(O)COC=CCCOC(=O)C=CCOC(=O)C=CCOC(=O)C=CCOC(=O)C=CCOC(=O)C=CCOC(=O)C=CCOC(=O)C=CCOC=O,,CDK_Depict_11_7.png
OCOCOCO1COCOC1,,CDK_Depict_11_47.png
,,CDK_Depict_11_49.png
,,CDK_Depict_11_60.png
CC(=O)NC(C)SCC#CBr,,CDK_Depict_12_1.png
O=C=NNC(=S)(SS)C=NC(=S)SS,,CDK_Depict_12_17.png
