smiles,molfile,image_file
CS(C)(C)P(=S)(S)S(=O)=O,,CDK_Depict_1_4.png
O=C(O)C(=O)NC(=O)C,,CDK_Depict_1_12.png
CNO(C(C)(C)P(=O)C(C)C)NC(=O)F,,CDK_Depict_1_36.png
CSC=NC1=CC=NC=N1,,CDK_Depict_1_65.png
C=C(C)(C)(C)(C)N(CC)P(=O)(C)NC,,CDK_Depict_1_75.png
COC(C)(C(N)C)P(=O)O,,CDK_Depict_1_80.png
,,CDK_Depict_1_81.png
S=C=NCCC1=C=NP=C12N=CCC=C2N=C=S,,CDK_Depict_1_82.png
NN(C)S(C)S(=O)(=O)C(N)=O,,CDK_Depict_2_11.png
CC2(C)=CC=C1(CC1)=N2,,CDK_Depict_2_20.png
CNP(N)(C)C,,CDK_Depict_2_46.png
CSC=NC=NPN(C)C(=C)C,,CDK_Depict_3_41.png
C1C(C)CCC(C)(CC)C1,,CDK_Depict_3_108.png
SCCC2C1CCCCC1CCC24C3CCCCC3CCC46C5CCCCC5CCC68C7CCCCC7CCC8%10C9CCCCC9CCC%10CCCC,,CDK_Depict_3_144.png
,,CDK_Depict_4_50.png
CCCCCC1C(=O)OC(C)S1,,CDK_Depict_4_51.png
C1N=CN=N1,,CDK_Depict_4_69.png
N#CC(C)OC(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)(C)C,,CDK_Depict_4_87.png
CC(C)(C)NS(=O)(=O)N(N)S,,CDK_Depict_5_19.png
,,CDK_Depict_5_40.png
,,CDK_Depict_5_54.png
CC=CN=NC1CO1,,CDK_Depict_5_55.png
N#C1CCS(N)C1,,CDK_Depict_5_64.png
CCOC(CC)SC(C)C,,CDK_Depict_5_97.png
,,CDK_Depict_6_32.png
CCC(C)(O)C(C)CCC=N,,CDK_Depict_6_39.png
CN(C)C(N)(=NCC)NC,,CDK_Depict_6_51.png
N#CC1(OC)C=NNC1=O,,CDK_Depict_6_56.png
C=NN=C1C=CN=C1C,,CDK_Depict_6_65.png
CC=C2C1=C(C=CC=C1)OOC2=O,,CDK_Depict_6_85.png
CSC=NNC=N1NN=CC1=O,,CDK_Depict_6_96.png
N#CNC=CNCC=CC1=COC=C1,,CDK_Depict_7_20.png
C1C(C)CC(N)O1,,CDK_Depict_7_24.png
C=CCS(CC=C)C(=O)NC,,CDK_Depict_7_25.png
,,CDK_Depict_7_69.png
NC(O)(CS)C(=S)O,,CDK_Depict_7_76.png
NN(O)NCC(CBr)CCC,,CDK_Depict_8_1.png
,,CDK_Depict_8_31.png
CCSP(OCC)OP(=O)(CC)O(CC)O(CC)OCC,,CDK_Depict_8_47.png
O=CNSC=CC(=O)(C)(C)(C)C,,CDK_Depict_8_51.png
O=C1(O)CCC(O)C(C)=C1O,,CDK_Depict_8_59.png
COC(=O)C(=O)OC(C)(S)S(C)=O,,CDK_Depict_8_69.png
COCOOO(C)OCC,,CDK_Depict_8_80.png
C=COC=CC,,CDK_Depict_9_14.png
CNS(=O)(=O)NSN,,CDK_Depict_9_18.png
CS(=O)(=O)NOC(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)O(C)(=O)(=O)OC,,CDK_Depict_9_62.png
CC(C)(C)OC=C(N(C)CN(C)C)NC(C)(C)C,,CDK_Depict_9_82.png
,,CDK_Depict_10_5.png
CCCNC1NCNCP1,,CDK_Depict_10_14.png
CCSC1(C)(C)CC=CN1,,CDK_Depict_10_25.png
CCCCCCCCC1CCCCC1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CDK_Depict_10_31.png
O=S(=O)CCCCCC(CSC1=CC=CC=C1)N(O)(O)O,,CDK_Depict_10_46.png
OCCCC(C)C1=C(C)C=C(C)C1,,CDK_Depict_10_48.png
,,CDK_Depict_10_57.png
CC2=NC=CN(=C(Br)NC1=CC=CC=C1)N2,,CDK_Depict_10_72.png
C,,CDK_Depict_10_84.png
C=CCOC(=O)C1=CC=CC=C1C2=CC=CC=C2,,CDK_Depict_10_88.png
CC(C)(C)C(F)(F)CC(F)(F)C(F)(F)F,,CDK_Depict_10_90.png
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CDK_Depict_11_7.png
BrCOCOCOC1CSCSC1,,CDK_Depict_11_47.png
CCCCCOCC(CCC)CCCC(O)CCCC(O)CC(CC)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CDK_Depict_11_49.png
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,CDK_Depict_11_60.png
CCOC(=S)(N(N=O)PO)NC(=O)NO,,CDK_Depict_12_1.png
COC(=NN(C)C(F)(F)F)C(F)(F)F,,CDK_Depict_12_17.png
C=C1(F)S2(S1)OS2,,CDK_Depict_12_22.png
CCOOC(CC)OCC,,CDK_Depict_12_23.png
S(O)OS(=O)O,,CDK_Depict_12_47.png
CSPNP(N)(S)S,,CDK_Depict_12_65.png
C(S(C)(PC)OC)OC,,CDK_Depict_12_74.png
C1=C(C)C=C(C)C1=S,,CDK_Depict_12_83.png
O=C=NNC(=O)(O)S(=O)=O,,CDK_Depict_12_90.png
C1(C)(C)CCCCC1,,CDK_Depict_13_9.png
CS(C(CC=O)C)C(=O)S,,CDK_Depict_13_20.png
FC(F)(F)(C(F)(F)F)SF,,CDK_Depict_13_27.png
N=C(N)SNC(N)=S,,CDK_Depict_13_38.png
CN(C)P1N=NN1N(C)C,,CDK_Depict_13_52.png
,,CDK_Depict_13_53.png
CN=NN(N)=O,,CDK_Depict_13_59.png
CS(C(C)(C)(C)C)(S)(C)C,,CDK_Depict_13_68.png
CCN(CC)CCN(CC)(CC)CC,,CDK_Depict_13_69.png
CCN=N(C)NO,,CDK_Depict_13_91.png
O=C(O)C1(=O)(CC=NC)CC(=O)C1=O,,CDK_Depict_13_95.png
C=S(C)=CSP(N)N,,CDK_Depict_13_96.png
CC=NC(=O)C1=NNC2=C1C=NN2,,CDK_Depict_14_1.png
C(C)C1C=NCC1=S,,CDK_Depict_14_30.png
C=NN(N(C)C)CC=C,,CDK_Depict_14_40.png
CC(C)COC=CN=NCC(F)(F)F,,CDK_Depict_14_45.png
