smiles,molfile,image_file
CSC(=S)C=NC(C)(C)C,,CDK_Depict_1_4.png
O=C(C)(C)C,,CDK_Depict_1_12.png
CC(C)(C)P(=O)(C)(C)N(C)C,,CDK_Depict_1_36.png
C=CPC(=C)(Br)CC,,CDK_Depict_1_65.png
COC(=O)(C)(C)C(=O)N,,CDK_Depict_1_75.png
C(OC)S(=O)(=O)(C)C,,CDK_Depict_1_80.png
CCN=C(C(=O)OC)C(O)C,,CDK_Depict_1_81.png
,,CDK_Depict_1_82.png
NP(N)(=O)(O)(C)(C)C,,CDK_Depict_2_11.png
C=CC1=CC2=CC=C1C(C)=C2,,CDK_Depict_2_20.png
CN(C)P(=S)P,,CDK_Depict_2_46.png
CN1C=CN=C(N(C)C)=C1,,CDK_Depict_3_41.png
CC(C)CCC(C)CC1C(C)CCC1C,,CDK_Depict_3_108.png
,,CDK_Depict_3_144.png
CC(C)C(=O)(OC(C)(C)N(C)C)N(C)C,,CDK_Depict_4_50.png
CC=CC2=CCCC1=CC=CC1C2CC3C(O)CC(O)O3,,CDK_Depict_4_51.png
C=NS1C=CN=N1,,CDK_Depict_4_69.png
O=CC(O)C(O)O,,CDK_Depict_4_87.png
CCC(C)OSNC(=O)(P)C(=O)P,,CDK_Depict_5_19.png
CONON(O)CNNC1C(O)COC1C,,CDK_Depict_5_40.png
FC=NN=C1N=CC=N1,,CDK_Depict_5_54.png
CCC=C(C)C1CN(O)C1,,CDK_Depict_5_55.png
CC1=NCCC1N,,CDK_Depict_5_64.png
CCSC(C)P=SC,,CDK_Depict_5_97.png
CC(=O)CCC(N)C1=CC=CC=C1,,CDK_Depict_6_32.png
CN(=S)OS(=O)(=O)OO,,CDK_Depict_6_39.png
N1C(N)C=SN=C1,,CDK_Depict_6_51.png
O=C1NS(C)S(Br)S1,,CDK_Depict_6_56.png
,,CDK_Depict_6_65.png
CCCCC1=CC=CC=C1,,CDK_Depict_6_85.png
CC=NC(=O)NC(C)C(F)(F)F,,CDK_Depict_6_96.png
C#CN1CNC2CCC1O2,,CDK_Depict_7_20.png
C=CCCCC(C)(C)C#N,,CDK_Depict_7_24.png
CSC(=O)NN=CCS(F)F,,CDK_Depict_7_25.png
C1COC=CNN=C2C=CN=C12,,CDK_Depict_7_69.png
NC(O)C(Br)Br,,CDK_Depict_7_76.png
CN=SC1CCCC1CCCCCC,,CDK_Depict_8_1.png
,,CDK_Depict_8_31.png
CCCOP(=O)(CC)O(P(=O)OC)OP(=O)(OC)P(OC)O(P(=O)OC)OP(=O)(OC)O(P(=O)OC)OP(=O)(OC)OP(=O)OC,,CDK_Depict_8_47.png
,,CDK_Depict_8_51.png
O=C(O)CC(O)C(=O)O,,CDK_Depict_8_59.png
COP(=O)(O)(C)SO(C)(=O)=O,,CDK_Depict_8_69.png
,,CDK_Depict_8_80.png
C=COOC=CC,,CDK_Depict_9_14.png
O=CNC(=O)(C)C,,CDK_Depict_9_18.png
CS(=O)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC(C)(=O)OC,,CDK_Depict_9_62.png
CC1(C)(C)OCC(N=CNC(C)(C)C)N1,,CDK_Depict_9_82.png
CCCCCCC1(C)CCCC1CC,,CDK_Depict_10_5.png
CC(C)(C)CCC=N(C=CC)C(C)(C)(=O)(=O)C(C)(C)=O,,CDK_Depict_10_14.png
,,CDK_Depict_10_25.png
CC=CC1(OC)CCC=C1CC2CCC=C2CCCCCC(=C)C=CC=C3CCC=C3CC4CCC=C4CCCCCC(=C)C=CC=C5CCC=C5CC6CCC=C6CCCCCC,,CDK_Depict_10_31.png
,,CDK_Depict_10_46.png
,,CDK_Depict_10_48.png
CO1C(O)(OC)SS1,,CDK_Depict_10_57.png
C=NC=NC2=NC(=NC1=NC=CC=N1)NO2,,CDK_Depict_10_72.png
O=SOC(=O)(C)(C)C,,CDK_Depict_10_84.png
CC(N)CC1=CC=CC=C1,,CDK_Depict_10_88.png
CC(C)(C)(Br)C(C)Br,,CDK_Depict_10_90.png
C1(=CC=CC=C1)O,,CDK_Depict_11_7.png
C1NC(=S)(CCC)C(=O)CC1,,CDK_Depict_11_47.png
CCCCCCOCC(CO)CCCCCOCC(CO)CC(CO)CCCCCOCC(CO)CC(CO)CCCCCOCC(CO)CCCO,,CDK_Depict_11_49.png
,,CDK_Depict_11_60.png
N#CNC(=O)NC(N)C,,CDK_Depict_12_1.png
CSC=CC(=N)(C(F)(F)F)C(F)(F)F,,CDK_Depict_12_17.png
C=C(C)C=CSCS(C)C1=NCSC1=O,,CDK_Depict_12_22.png
CCSC1=CN=CCS1,,CDK_Depict_12_23.png
CCC(O)C(C)C,,CDK_Depict_12_47.png
C=CPO1(P(=O)(C)C)CO1,,CDK_Depict_12_65.png
